agyParentName,agyAbbrev,vehType,vehCount,GGE_E85,GGE_Gas,GGE_Diesel,GGE_Biodiesel,GGE_B20,GGE_Electricity
Department of Defense,ARMY,Diesel,13662,0,0,5,7418512,152096,0
Department of Defense,ARMY,E85,23927,1898899,11313239.48,0,0,0,0
Department of Defense,ARMY,Electric,513,0,0,0,0,0,18067
Department of Defense,ARMY,Gas,25197,0,11991215.83,0,0,0,0
Department of Defense,DA,E85,2492,91301,810881.7386,0,0,0,0
Department of Defense,DA,Diesel,1193,0,0,0,791716,10231,0
Department of Defense,DA,Electric,114,0,0,0,0,0,0
Department of Defense,DA,Gas,2617,0,748974.2614,0,0,0,0
Department of Defense,DAF,Diesel,16048,0,0,0,5261635,1222293,0
Department of Defense,DAF,E85,12170,1404805,3331005.54,0,0,0,0
Department of Defense,DAF,Electric,28,0,0,0,0,0,0
Department of Defense,DAF,Gas,19430,0,8134177.46,0,0,0,0
Department of Defense,NAVY,E85,13848,825144,4372383.673,0,0,0,0
Department of Defense,NAVY,Electric,1409,0,0,0,0,0,18474
Department of Defense,NAVY,Diesel,5666,0,0,0,2763921,263804,0
Department of Defense,NAVY,Gas,17794,0,6181815.894,0,0,0,0
Department of Defense,USMC,Diesel,2462,0,0,0,1503559,904261,0
Department of Defense,USMC,Electric,897,0,0,0,0,0,38901
Department of Defense,USMC,E85,4557,1080481,1752878.348,0,0,0,0
Department of Defense,USMC,Gas,4728,0,2388184.235,0,0,0,0
United States Federal Government,ABMC,Gas,20,0,1753,0,0,0,0
United States Federal Government,ABMC,Diesel,23,0,0,0,2313,0,0
United States Federal Government,BBG,Diesel,74,0,0,0,37983,0,0
United States Federal Government,BBG,E85,5,68,729.6666667,0,0,0,0
United States Federal Government,BBG,Gas,78,0,37276.33333,0,0,0,0
United States Federal Government,CPSC,Gas,56,0,13889.95506,0,0,0,0
United States Federal Government,CPSC,Diesel,1,0,0,0,245,0,0
United States Federal Government,CPSC,E85,34,1044,6996.044944,0,0,0,0
United States Federal Government,CSOSA,E85,13,1929,0,0,0,0,0
United States Federal Government,CSOSA,Gas,63,0,9051.276316,0,0,0,0
United States Federal Government,DHS,Diesel,4571,0,0,0,3303892,19,0
United States Federal Government,DHS,E85,19189,604056,12542901.71,0,0,0,0
United States Federal Government,DHS,Electric,34,0,0,0,0,0,663
United States Federal Government,DHS,Gas,29205,0,19351991.29,0,0,0,0
United States Federal Government,DOA,Diesel,3454,0,0,0,3009630,60,0
United States Federal Government,DOA,Electric,3,0,0,0,0,0,92
United States Federal Government,DOA,E85,13459,320316,6411944.46,0,0,0,0
United States Federal Government,DOA,Gas,23206,0,12471859.68,0,0,0,0
United States Federal Government,DOC,Diesel,160,0,0,0,74496,0,0
United States Federal Government,DOC,E85,874,68060,333137.3324,0,0,0,0
United States Federal Government,DOC,Gas,952,0,423969.4607,0,0,0,0
United States Federal Government,DOE,Diesel,2808,0,0,7598,2947428,712343,0
United States Federal Government,DOE,Electric,88,0,0,0,0,0,638
United States Federal Government,DOE,E85,6895,1593408,1627846.164,0,0,0,0
United States Federal Government,DOE,Gas,4147,0,1943560.34,0,0,0,0
United States Federal Government,DOED,E85,51,3796,22817.77419,0,0,0,0
United States Federal Government,DOED,Gas,42,0,21917.22581,0,0,0,0
United States Federal Government,DOI,E85,8687,307540,4174542.816,0,0,0,0
United States Federal Government,DOI,Electric,151,0,0,0,0,0,9469
